REGIAO:;NE
UF:;SE
ESTACAO:;ITABAIANINHA
CODIGO (WMO):;A417
LATITUDE:;-11,27249999
LONGITUDE:;-37,79499999
ALTITUDE:;204,8
DATA DE FUNDACAO:;23/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;991,7;991,7;991,1;;25;20,6;25,1;24,9;20,7;20,4;77;75;77;56;8,6;4,3;
2026/01/01;0100 UTC;0;992,1;992,2;991,7;;24,5;20,9;25;24,5;20,9;20,6;80;77;80;60;7,1;3,1;
2026/01/01;0200 UTC;0;991,4;992,1;991,4;;23,9;23;24,5;23,9;23;20,9;95;80;95;47;6,4;3,2;
2026/01/01;0300 UTC;0;990,8;991,4;990,8;;23,8;23,8;23,9;23,8;23,9;23,1;100;95;100;42;6,1;3;
2026/01/01;0400 UTC;0;990;990,8;990;;23,6;;23,9;23,6;;;;;;41;6,3;3,5;
2026/01/01;0500 UTC;0;989,4;990;989,4;;23,4;;23,6;23,4;;;;;;46;6,2;3;
2026/01/01;0600 UTC;0;988,9;989,4;988,9;;23,2;;23,4;23,1;;;;;;43;6,2;3,3;
2026/01/01;0700 UTC;0;988,8;989;988,6;;23,1;;23,2;23,1;;;;;;39;6,6;3,4;
2026/01/01;0800 UTC;0;989,2;989,2;988,8;;23,2;;23,4;23,1;;;;;;42;6,7;2,9;
2026/01/01;0900 UTC;0;989,5;989,5;989,2;97,1;23,6;;23,6;23,1;;;;;;39;7,2;3,7;
2026/01/01;1000 UTC;0;989,8;989,8;989,5;464,6;26;22,1;26;23,6;24,6;22,1;100;79;79;31;8,4;3,5;
2026/01/01;1100 UTC;0;990,2;990,2;989,8;1039,9;27,4;18,6;28,3;25,9;22,3;18,6;79;57;58;42;9,8;5,2;
2026/01/01;1200 UTC;0;990,1;990,2;990;1594,8;30,6;16,5;31;27,2;19,2;16,2;61;41;43;41;9,2;5;
2026/01/01;1300 UTC;0;989,5;990,1;989,5;2648,1;32,2;15,5;33;29,3;17,6;15,1;47;35;37;50;9,2;4,1;
2026/01/01;1400 UTC;0;988,9;989,5;988,9;3334,2;31,4;14,6;34,2;31,2;16;13,6;37;30;36;118;8;2,4;
2026/01/01;1500 UTC;0;988,7;988,9;988,7;2471,7;31,7;13,9;34,3;31,5;16,2;13,4;36;29;34;72;7,3;2,7;
2026/01/01;1600 UTC;0;987,9;988,7;987,9;2931,3;31,6;16,3;34,2;31,6;16,3;13,8;40;31;40;95;6,4;3,2;
2026/01/01;1700 UTC;0;987,2;987,9;987,2;2315,7;33,2;16,4;33,2;31,5;17,5;15,2;42;36;37;76;8,8;3,8;
2026/01/01;1800 UTC;0;986,3;987,2;986,3;2789,1;32,4;16,8;34,3;31,4;16,9;15,8;41;33;39;91;9,3;3,9;
2026/01/01;1900 UTC;0;986,3;986,4;986,2;1947,9;31,3;16,4;33,2;31,1;17;15,9;42;37;41;77;9,4;3,7;
2026/01/01;2000 UTC;0;986,8;986,8;986,3;1089,2;29;17,2;31,3;29;17,4;16,3;49;41;49;79;11;4,1;
2026/01/01;2100 UTC;0;987,1;987,1;986,7;254,8;26,8;18,4;29;26,8;18,6;17,3;60;49;60;72;8,9;4;
2026/01/01;2200 UTC;0;987,8;987,8;987,1;;25,6;19,5;26,8;25,6;19,5;18,4;69;60;69;61;8,3;4,8;
2026/01/01;2300 UTC;0;988,1;988,1;987,7;;24,9;20;25,6;24,9;20;19,5;75;69;75;59;7,8;3,9;
2026/01/02;0000 UTC;0;988,5;988,5;988,1;;24,3;21,1;24,9;24,3;21,1;20,1;82;75;82;51;6,3;3,6;
2026/01/02;0100 UTC;0;988,6;988,7;988,5;;24,2;23,3;24,3;24,2;23,3;21,1;94;82;94;53;6,3;3,9;
2026/01/02;0200 UTC;0;988,4;988,6;988,4;;24,3;22,9;24,3;24,2;23,3;22,9;94;92;92;48;7,2;3,6;
2026/01/02;0300 UTC;0;987,9;988,4;987,9;;24,1;23;24,3;24,1;23;22,6;94;91;94;43;6,7;3,1;
2026/01/02;0400 UTC;0;987,4;987,9;987,4;;23,7;23,7;24,1;23,7;23,7;23;100;94;100;40;6,1;2,9;
2026/01/02;0500 UTC;0;986,7;987,4;986,7;;23,6;23,3;23,7;23,6;23,7;23,3;100;98;98;39;8;4;
2026/01/02;0600 UTC;0;986,7;986,8;986,6;;23,5;23,5;23,7;23,5;23,5;23,1;100;97;100;36;8;3,2;
2026/01/02;0700 UTC;0;986,5;986,8;986,4;;23,2;;23,5;23,2;;;;;;45;6;3,2;
2026/01/02;0800 UTC;0;987;987;986,4;;22,8;;23,2;22,8;;;;;;55;5,8;3,1;
2026/01/02;0900 UTC;0;987,5;987,5;987;74;23,1;;23,1;22,6;;;;;;46;5,2;2,9;
2026/01/02;1000 UTC;0;987,8;987,8;987,4;273;25,8;20,5;25,8;23,1;;;;;73;47;5,9;3,2;
2026/01/02;1100 UTC;0;988,2;988,2;987,8;1245;29;19,1;29;25,8;20,7;18,7;73;55;55;34;6,5;3;
2026/01/02;1200 UTC;0;988,1;988,2;988,1;2313,6;31,5;18,6;31,5;29;19,5;17,9;55;46;47;45;7,4;2,9;
2026/01/02;1300 UTC;0;987,9;988,2;987,9;2366,2;32,6;18,3;33,1;30,7;18,9;17;47;40;43;30;6,8;2,2;
2026/01/02;1400 UTC;0;987,3;987,9;987,3;1709,1;31,9;16;33,7;31,8;17,9;15,7;42;36;39;16;6,4;2,9;
2026/01/02;1500 UTC;0;986,4;987,3;986,4;3281;35,7;13,3;37,5;31,5;17,2;13,1;40;24;26;48;6,8;3,6;
2026/01/02;1600 UTC;0;985,4;986,4;985,3;2472,1;34,4;13,7;37;34,1;14,9;12,2;30;24;29;31;8,6;3,1;
2026/01/02;1700 UTC;0;984,1;985,4;984,1;3066,1;34,6;16,1;37,3;33,9;17,1;12,9;36;24;33;73;9,8;4;
2026/01/02;1800 UTC;0;983,7;984,2;983,7;2358,1;33;17,4;36,1;32,9;17,5;16,2;39;32;39;73;10,3;4,7;
2026/01/02;1900 UTC;0;983,4;983,8;983,3;1515,3;32,1;17,6;33,6;31,9;18;17,1;43;38;42;66;10,3;5,5;
