ano,mes,dias_no_mes,dias_com_dado,dias_ausentes,precipitacao_total_mm,precipitacao_media_mm,pct_falha,ano_mes
2016,9,28,28,0,39.400000000000006,1.41,0.0,2016-09
2016,10,31,31,0,17.8,0.57,0.0,2016-10
2016,11,30,30,0,15.6,0.52,0.0,2016-11
2016,12,31,31,0,39.0,1.26,0.0,2016-12
2017,1,31,31,0,3.8,0.12,0.0,2017-01
2017,2,28,28,0,17.6,0.63,0.0,2017-02
2017,3,31,31,0,58.4,1.88,0.0,2017-03
2017,4,30,25,5,140.6,5.62,16.7,2017-04
2017,5,31,31,0,261.0,8.42,0.0,2017-05
2017,6,30,0,30,0.0,,100.0,2017-06
2017,7,31,0,31,0.0,,100.0,2017-07
2017,8,31,0,31,0.0,,100.0,2017-08
2017,9,30,0,30,0.0,,100.0,2017-09
2017,10,31,30,1,88.2,2.94,3.2,2017-10
2017,11,30,30,0,28.2,0.94,0.0,2017-11
2017,12,31,31,0,21.2,0.68,0.0,2017-12
2018,1,31,31,0,14.799999999999999,0.48,0.0,2018-01
2018,2,28,28,0,88.8,3.17,0.0,2018-02
2018,3,31,31,0,142.2,4.59,0.0,2018-03
2018,4,30,30,0,90.8,3.03,0.0,2018-04
2018,5,31,0,31,0.0,,100.0,2018-05
2018,6,30,4,26,11.600000000000001,2.9,86.7,2018-06
2018,7,31,31,0,90.8,2.93,0.0,2018-07
2018,8,31,31,0,25.2,0.81,0.0,2018-08
2018,9,30,30,0,15.8,0.53,0.0,2018-09
2018,10,31,31,0,23.0,0.74,0.0,2018-10
2018,11,30,30,0,28.0,0.93,0.0,2018-11
2018,12,31,31,0,8.6,0.28,0.0,2018-12
2019,1,31,31,0,12.600000000000001,0.41,0.0,2019-01
2019,2,28,28,0,40.800000000000004,1.46,0.0,2019-02
2019,3,31,31,0,132.8,4.28,0.0,2019-03
2019,4,30,30,0,124.6,4.15,0.0,2019-04
2019,5,31,31,0,166.60000000000002,5.37,0.0,2019-05
2019,6,30,30,0,290.0,9.67,0.0,2019-06
2019,7,31,31,0,372.2,12.01,0.0,2019-07
2019,8,31,31,0,102.8,3.32,0.0,2019-08
2019,9,30,30,0,95.60000000000001,3.19,0.0,2019-09
2019,10,31,31,0,91.0,2.94,0.0,2019-10
2019,11,30,30,0,14.2,0.47,0.0,2019-11
