data,localizacao,texto,titulo,link
8 de fevereiro de 2026,"Aracaju, Bairro Lamarão, Lamarão","A forte chuva registrada em Aracaju na tarde deste domingo, 8, quando foram contabilizados 60 milímetros em apenas uma hora no bairro Lamarão, provocou pontos de alagamento e o transbordamento …",Chuva de 60 mm em uma hora provoca alagamentos e deixa Aracaju em alerta,https://www.sosergipe.com.br/chuva-de-60-mm-em-uma-hora-provoca-alagamentos-e-deixa-aracaju-em-alerta/
20 de dezembro de 2025,Aracaju,"Um contrato de financiamento no valor total de R$ 37,8 milhões foi assinado nesta sexta-feira, 19, para viabilizar a aquisição de 36 novos ônibus que passarão a integrar a frota …","Contrato de R$ 37,8 milhões garante 36 novos ônibus para Aracaju",https://www.sosergipe.com.br/contrato-de-r-378-milhoes-garante-36-novos-onibus-para-aracaju/
5 de fevereiro de 2025,Aracaju,"Choveu granizo nesta manhã em Brejo Grande, município localizado a 136 quilômetros de Aracaju. O coordenador da Defesa Civil local, Ícaro Freire, informou que o fenômeno foi pontual e …",Granizo atinge Brejo Grande e novas ocorrências são previstas em Sergipe,https://www.sosergipe.com.br/granizo-atinge-brejo-grande-e-novas-ocorrencias-sao-previstas-em-sergipe/
10 de janeiro de 2025,Aracaju,"Após o alerta de chuvas emitido para as próximas 72 horas em Aracaju, a prefeita Emília Corrêa instituiu, nesta sexta-feira, 10, um Comitê Operacional com o objetivo de monitorar situações …",Prefeita Emília institui comitê operacional para monitorar os impactos das chuvas em Aracaju,https://www.sosergipe.com.br/prefeita-emilia-institui-comite-operacional-para-monitorar-os-impactos-das-chuvas-em-aracaju/
28 de maio de 2024,Aracaju,"No início da atual gestão, em 2017, a Prefeitura de Aracaju elaborou um Plano de Resiliência a fim de orientar e qualificar ainda mais as práticas de redução de possíveis …",Aracaju investe em equipamentos meteorológicos e intensifica prevenção em período chuvoso,https://www.sosergipe.com.br/aracaju-investe-em-equipamentos-meteorologicos-e-intensifica-prevencao-em-periodo-chuvoso/
23 de maio de 2024,Aracaju,"Em tempos de eventos climáticos extremos, a capital sergipana emerge como cidade preparada para enfrentar de modo resiliente situações adversas. Por meio de um inédito Plano de Resiliência, elaborado …",Plano de Resiliência: Aracaju se destaca como cidade preparada para situações climáticas adversas,https://www.sosergipe.com.br/plano-de-resiliencia-aracaju-se-destaca-como-cidade-preparada-para-situacoes-climaticas-adversas/
23 de abril de 2024,Aracaju,"No início da tarde desta terça-feira, 23, a Defesa Civil de Aracaju, órgão que integra a Secretaria Municipal da Defesa Social e da Cidadania (Semdec), emitiu alerta de chuva com …",Defesa Civil de Aracaju emite alerta de chuva para as próximas 24h,https://www.sosergipe.com.br/defesa-civil-de-aracaju-emite-alerta-de-chuva-para-as-proximas-24h/
19 de abril de 2024,Aracaju,"A capital sergipana está passando por uma importante transformação urbanística. Com o programa “Aracaju Cidade do Futuro”, a Prefeitura Municipal está investindo R$ 500 milhões no maior pacote de obras …",Aracaju Cidade do Futuro: Prefeitura investe R$500 milhões em pacote de obras estruturantes,https://www.sosergipe.com.br/aracaju-cidade-do-futuro-prefeitura-investe-r500-milhoes-em-pacote-de-obras-estruturantes/
4 de abril de 2024,"Aracaju, Centro","Raios, trovões, muita chuva e ventos fortes acordaram os  aracajuanos na manhã desta quinta-feira, 04, o que deixou em alerta a Defesa Civil de Aracaju. No centro comerciantes relatam que …",Defesa Civil de Aracaju monitora instabilidade climática e mantém equipes em atenção,https://www.sosergipe.com.br/defesa-civil-de-aracaju-monitora-instabilidade-climatica-e-mantem-equipes-em-atencao/
16 de janeiro de 2024,Aracaju,"Em entrevista concedida ao radialista Narciso Machado, âncora do Jornal da Fan, da rádio Fan FM, nesta terça-feira, 16, o prefeito Edvaldo Nogueira fez um balanço da gestão municipal nos …",Prefeito Edvaldo faz balanço dos sete anos da gestão: fizemos uma grande transformação em Aracaju,https://www.sosergipe.com.br/prefeito-edvaldo-faz-balanco-dos-sete-anos-da-gestao-fizemos-uma-grande-transformacao-em-aracaju/
