data,localizacao,texto
13/08/2026 as 23:53,Aracaju,Aracaju tem alerta para maré acima de 2 metros e risco de alagamento até sexta-feira (14)
22/04/2026 as 17:39,"Bairro São Conrado, São Conrado",Confira vídeo protesto sobre alagamento no Bairro São Conrado
19/01/2026 as 12:56,"13 De Julho, Bairro São José, São José",Moradores do bairro São José e 13 de Julho relatam alagamento após chuva rápida deste sábado
20/05/2025 as 20:22,Aracaju,Prefeita de Aracaju visita principais pontos de alagamento na tarde de hoje
07/05/2024 as 15:17,Aracaju,Aracaju apresenta diversos pontos de alagamento na manhã desta terça-feira (7)
07/05/2024 as 14:42,Aracaju,Fortes chuvas causam alagamento em diversos bairros de Aracaju
07/05/2024 as 10:19 | Alerta,Aracaju,Aracaju registra 94 milímetros de água em seis horas de chuva
11/04/2024 as 09:53 | Transtornos,Aracaju,Aracaju amanhece com chuvas e pontos de alagamento em ruas da cidade; VÍDEO
04/04/2024 as 22:01,Aracaju,Chuva forte causa alagamento nas ruas de Aracaju
30/05/2023 as 12:10 | Acolhimento,Aracaju,"Após dias de alagamento, famílias retornam ao Largo da Aparecida em Aracaju"
16/08/2022 as 17:39,"Bairro São Conrado Reclamam De Alagamento Nas Ruas, São Conrado",Moradores do bairro São Conrado reclamam de alagamento nas ruas
16/08/2022 as 12:24,Aracaju,Moradores reclamam de problemas de alagamento e vazamento de esgoto em Aracaju
20/05/2022 as 13:52 | Tempo,Aracaju,"Chuvas permanecem bem distribuídas em Aracaju, informa Defesa Civil"
20/05/2021 as 14:37 | Tempo,Aracaju,Aracaju registra chuva de 33mm em uma hora e resulta em pontos de alagamento
30/04/2021 as 13:55,Aracaju,Defesa Civil de Aracaju fica em alerta para os pontos de alagamento
19/04/2021 as 14:59,Centro,Vazamento de água provoca alagamento em ruas no centro da capital
10/03/2020 as 13:26,Aracaju,Maré alta causa alagamento em diversas ruas de Aracaju
08/10/2019 as 12:52,Jabotiana,Justiça Federal realiza audiência pública sobre problemas de alagamento no Jabotiana
10/07/2019 as 18:55,Jabotiana,Emsurb visita pontos de alagamento no Jabotiana
01/03/2018 as 19:37,Coroa Do Meio,Telespectador registra pontos de alagamento na Coroa do Meio
19/10/2017 as 10:21,Aracaju,"Chuva causa alagamento na avenida Euclides Figueiredo, em Aracaju"
19/10/2017 as 09:58,"Bairro Japãozinho, Japãozinho",Chuvas e alagamento causam transtornos nas ruas São Januario e Arame no bairro Japãozinho
19/10/2017 as 09:55,"Bairro Cidade Nova, Cidade Nova","Chuva causa alagamento na avenida Visconde de Maracaju, no bairro Cidade Nova"
20/02/2017 as 13:32,Aracaju,Chuva forte causa alagamento em vários pontos de Aracaju
09/02/2017 as 23:59,13 De Julho,Secretaria do Meio Ambiente discute alagamento no canal da 13 de Julho
01/10/2015 as 00:43,Aracaju,Chuva deixa vários pontos de alagamento em Aracaju
30/09/2015 as 23:35,Aracaju,Internautas flagram pontos de alagamento em Aracaju
30/09/2015 as 23:05,Aracaju,Ruas alagadas e trânsito desordenado em Aracaju
