data,localizacao,texto
23/04/2026,"Aracaju, Bairro São Conrado, São Conrado","O Comitê Operacional de Aracaju (COA) realizou, na tarde desta quarta-feira (22), uma ação emergencial no bairro São Conrado,…"
06/03/2026,Aracaju,"A obra de macrodrenagem da Zona de Expansão de Aracaju, executada pela Empresa Municipal de Obras e Urbanização (Emurb),…"
09/03/2020,"13 De Julho, Aracaju, Zona Sul","Da redação AJN1 A maré alta provocou diversos pontos de alagamentos no bairro 13 de Julho, zona Sul de Aracaju,…"
08/10/2019,"Bairro Jabotiana, Jabotiana","Com o objetivo de tratar dos reiterados problemas de alagamento no bairro Jabotiana, com apresentação de possíveis causas e soluções…"
01/08/2019,"Bairro Jabotiana, Jabotiana","Da redação, AJN1 O governador Belivaldo Chagas defendeu nesta quinta-feira (1º), durante reunião com representantes de moradores do bairro Jabotiana…"
08/06/2018,Aracaju,"Da redação, AJN1 Por conta da chuva que cai desde o início da madrugada (8) em Aracaju, o trecho…"
17/08/2026,Centro,Eventos extremos cada vez mais frequentes colocam o clima no centro das atenções. Cientistas acompanham a formação de um…
12/08/2026,Aracaju,"A maré alta deve atingir até 2,24 metros em Aracaju entre esta quarta-feira (12) e sexta-feira (14), aumentando o…"
11/08/2026,Aracaju,"A Câmara Municipal de Aracaju (CMA) recebeu, nesta terça-feira (11/08), a secretária municipal de Meio Ambiente, Emília Golzio, para…"
01/06/2026,Aracaju,"O Ministério Público Federal (MPF) recomendou ao município de Aracaju, ao Estado de Sergipe, à Secretaria Municipal do Meio…"
25/05/2026,"Aracaju, Santa Maria","A Prefeitura de Aracaju iniciou a elaboração do projeto de requalificação da avenida Alexandre Alcino, principal via de ligação…"
13/05/2026,Aracaju,"Com investimentos de mais de R$ 58 milhões, a prefeita de Aracaju, Emília Corrêa, e o ministro das Cidades,…"
09/05/2026,Aracaju,A previsão de até 50 milímetros de chuva em poucas horas colocou Aracaju em estado de atenção para risco…
23/04/2026,Aracaju,A Defesa Civil de Aracaju disponibilizou um novo canal de atendimento para emergências durante o período chuvoso: o WhatsApp…
15/04/2026,Aracaju,A forte chuva que atinge Aracaju desde a madrugada desta quarta-feira (15) provocou prejuízos a comerciantes do Mercado Maria…
20/02/2026,Aracaju,A Defesa Civil de Aracaju emitiu alerta de Chuva Amarela com previsão de precipitações entre 20 e 30 milímetros…
09/02/2026,Aracaju,"As fortes chuvas registradas neste domingo (8), deixaram Aracaju em alerta moderado e provocaram alagamentos, transbordamento de canais e…"
03/02/2026,Aracaju,"A prefeita Emília Corrêa participou, nesta terça-feira (3), da retomada dos trabalhos legislativos de 2026 na Câmara Municipal de…"
29/11/2025,Aracaju,"A Administração Estadual do Meio Ambiente (Adema) realizou, nessa sexta-feira, 28, fiscalização conjunta na extensão da nova obra de…"
23/09/2025,Aracaju,"O Ministério Público Federal (MPF) realizou, na última sexta-feira (19), reunião com órgãos ambientais, gestores públicos, órgãos de controle…"
13/09/2025,"Aracaju, Centro",Ruas e avenidas do Centro da capital sergipana estão sendo mapeadas pela equipe de Proteção e Defesa Civil de…
