data,localizacao,texto
8 de fevereiro de 2026,"Aracaju, Bairro Lamarão, Lamarão","A forte chuva registrada em Aracaju na tarde deste domingo, 8, quando foram contabilizados 60 milímetros em apenas uma hora no bairro Lamarão, provocou pontos de alagamento e o transbordamento …"
20 de dezembro de 2025,Aracaju,"Um contrato de financiamento no valor total de R$ 37,8 milhões foi assinado nesta sexta-feira, 19, para viabilizar a aquisição de 36 novos ônibus que passarão a integrar a frota …"
5 de fevereiro de 2025,Aracaju,"Choveu granizo nesta manhã em Brejo Grande, município localizado a 136 quilômetros de Aracaju. O coordenador da Defesa Civil local, Ícaro Freire, informou que o fenômeno foi pontual e …"
10 de janeiro de 2025,Aracaju,"Após o alerta de chuvas emitido para as próximas 72 horas em Aracaju, a prefeita Emília Corrêa instituiu, nesta sexta-feira, 10, um Comitê Operacional com o objetivo de monitorar situações …"
28 de maio de 2024,Aracaju,"No início da atual gestão, em 2017, a Prefeitura de Aracaju elaborou um Plano de Resiliência a fim de orientar e qualificar ainda mais as práticas de redução de possíveis …"
23 de maio de 2024,Aracaju,"Em tempos de eventos climáticos extremos, a capital sergipana emerge como cidade preparada para enfrentar de modo resiliente situações adversas. Por meio de um inédito Plano de Resiliência, elaborado …"
23 de abril de 2024,Aracaju,"No início da tarde desta terça-feira, 23, a Defesa Civil de Aracaju, órgão que integra a Secretaria Municipal da Defesa Social e da Cidadania (Semdec), emitiu alerta de chuva com …"
19 de abril de 2024,Aracaju,"A capital sergipana está passando por uma importante transformação urbanística. Com o programa “Aracaju Cidade do Futuro”, a Prefeitura Municipal está investindo R$ 500 milhões no maior pacote de obras …"
4 de abril de 2024,"Aracaju, Centro","Raios, trovões, muita chuva e ventos fortes acordaram os  aracajuanos na manhã desta quinta-feira, 04, o que deixou em alerta a Defesa Civil de Aracaju. No centro comerciantes relatam que …"
16 de janeiro de 2024,Aracaju,"Em entrevista concedida ao radialista Narciso Machado, âncora do Jornal da Fan, da rádio Fan FM, nesta terça-feira, 16, o prefeito Edvaldo Nogueira fez um balanço da gestão municipal nos …"
26 de outubro de 2023,Aracaju,"A Prefeitura de Aracaju autorizou o início do processo licitatório dos primeiros onze projetos do programa Aracaju Cidade do Futuro, a partir do qual a administração municipal investirá cerca de R$500 milhões …"
31 de agosto de 2023,Aracaju,"A população aracajuana está prestes a ser contemplada com o maior pacote de obras que a cidade já recebeu: o programa Aracaju Cidade do Futuro, que será executado pela Prefeitura …"
23 de maio de 2023,Aracaju,"O volume de chuvas tem prejudicado o acesso do transporte público coletivo em algumas vias. Em Aracaju, os principais destaques são as regiões onde há alagamento, que dificultam a travessia …"
