"﻿""data""",localizacao_bairro,descricao
Trânsito|30/05/2011,Aracaju (bairro não especificado),"A chuva e a atuação da SMTT A chuva e a atuação da SMTT Publicado em: 30/05/2011 A charge de Edidelson Silva mostra a atuação agentes de trânsito da SMTT durante a forte chuva que caiu na capital sergipana na última terça-feira, 24. A charge retoma a atuação dos agentes de trânsito da SMTT durante a forte chuva que caiu na capital sergipana na última terça-feira, 24. Com profissionalismo e muita solidariedade os agentes ajudaram a população, além do trabalho de orientação e sinalização do trânsi..."
Trânsito|25/05/2015,Inácio Barbosa (Cezartina Régis; Roberto Fonseca; Poxim Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Publicado em; Poxim; deve comparecer munido do Certificado de Registro e Licenciamento do Veículo),"Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Publicado em: 25/05/2015 A Superintendência Municipal de Transportes e Trânsito (SMTT), órgão vinculado à Secretaria Municipal da Defesa Social e da Cidadania, informa A Superintendência Municipal de Transportes e Trânsito (SMTT), órgão vinculado à Secretaria Municipal da Defesa Social e da Cidadania, informa aos condutores que pe..."
Trânsito|25/05/2015,Sol Nascente (Cezartina Régis; Roberto Fonseca; Poxim Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Publicado em; Poxim; deve comparecer munido do Certificado de Registro e Licenciamento do Veículo),"Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Publicado em: 25/05/2015 A Superintendência Municipal de Transportes e Trânsito (SMTT), órgão vinculado à Secretaria Municipal da Defesa Social e da Cidadania, informa A Superintendência Municipal de Transportes e Trânsito (SMTT), órgão vinculado à Secretaria Municipal da Defesa Social e da Cidadania, informa aos condutores que pe..."
Trânsito|25/05/2015,Santa Lúcia (Cezartina Régis; Roberto Fonseca; Poxim Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Publicado em; Poxim; deve comparecer munido do Certificado de Registro e Licenciamento do Veículo),"Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Agentes de trânsito da SMTT recuperam placas perdidas durante enchente do rio Poxim Publicado em: 25/05/2015 A Superintendência Municipal de Transportes e Trânsito (SMTT), órgão vinculado à Secretaria Municipal da Defesa Social e da Cidadania, informa A Superintendência Municipal de Transportes e Trânsito (SMTT), órgão vinculado à Secretaria Municipal da Defesa Social e da Cidadania, informa aos condutores que pe..."
Trânsito|25/02/2010,Aracaju (bairro não especificado) (sem ser visto pelo condutor é maior),"Chuva exige atenção redobrada de condutores de veículos Chuva exige atenção redobrada de condutores de veículos Publicado em: 25/02/2010 Com a chuva, os condutores de veículos precisam redobrar os cuidados ao dirigir. Com a chuva, os condutores de veículos precisam redobrar os cuidados ao dirigir. De acordo com o diretor de trânsito da Superintendência Municipal de Transporte e Trânsito (SMTT), major Paulo César Paiva, o período chuvoso exige muita atenção. “Quando chove, a visibilidade para que..."
Trânsito|24/05/2023,Aracaju (bairro não especificado) (São Francisco),"SMTT reforça monitoramento do trânsito e alerta para cuidados ao dirigir na chuva SMTT reforça monitoramento do trânsito e alerta para cuidados ao dirigir na chuva Publicado em: 24/05/2023 Equipes da Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju trabalham intensivamente em pontos estratégicos da capital em períodos de fortes chuvas, monitorando e auxiliando o trânsito para garantir a mobilidade e a segurança da população. Mas, além disso, a SMTT reforça a importância tam..."
Trânsito|24/05/2011,Centro,"Atuação incisiva da SMTT sob forte chuva é destacada Atuação incisiva da SMTT sob forte chuva é destacada Publicado em: 24/05/2011 O constante trabalho da Superintendência Municipal de Transporte e Trânsito (SMTT), através da Prefeitura Municipal de Aracaju (PMA), foi ressaltado nesta terça-feira, 24, quando a capital sergipana sofreu com as fortes chuvas anunciadas pela estação. O constante trabalho da Prefeitura de Aracaju, por meio da Superintendência Municipal de Transporte e Trânsito (SMTT)..."
Trânsito|21/05/2025,Centro (municipal de Governo de Aracaju; municipal do Planejamento; municipal do Turismo; municipal da Fazenda; municipal do Desenvolvimento Econômico e Inovação),"Gabinete Itinerante: prefeita Emília despacha na SMTT e acompanha em tempo real os impactos da chuva na capital Gabinete Itinerante: prefeita Emília despacha na SMTT e acompanha em tempo real os impactos da chuva na capital Publicado em: 21/05/2025 A prefeita Emília Corrêa esteve na manhã desta quarta-feira, 21, na sede da Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju, onde acompanhou o monitoramento dos impactos da chuva na capital. Junto com o secretário municipal de G..."
Trânsito|21/05/2025,Aracaju (bairro não especificado),"SMTT de Aracaju orienta condutores sobre recuperação de placas perdidas durante chuvas na última terça-feira, 20 SMTT de Aracaju orienta condutores sobre recuperação de placas perdidas durante chuvas na última terça-feira, 20 Publicado em: 21/05/2025 A Superintendência Municipal de Transportes e Trânsito (SMTT) orienta a entrar em contato os condutores que tiveram suas placas veiculares perdidas na última terça-feira, 20, por conta das fortes chuvas que caíram sobre Aracaju. Os donos dessas plac..."
Trânsito|20/05/2025,13 de Julho (Ministro Geraldo Barreto Sobral; Marieta Leite; Tancredo Neves; Gonçalo Prado Rolemberg com a rua Coronel Stanley Silveira; Pedro Valadares),"SMTT de Aracaju intensifica monitoramento e realiza bloqueios em vias afetadas pelas chuvas SMTT de Aracaju intensifica monitoramento e realiza bloqueios em vias afetadas pelas chuvas Publicado em: 20/05/2025 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju está desde as primeiras horas da manhã desta terça-feira, 20, com suas equipes nas ruas monitorando o impacto das fortes chuvas na capital e atuando para prevenir transtornos à mobilidade urbana. A Superintendência Mun..."
Trânsito|20/05/2025,Salgado Filho (Ministro Geraldo Barreto Sobral; Marieta Leite; Tancredo Neves; Gonçalo Prado Rolemberg com a rua Coronel Stanley Silveira; Pedro Valadares),"SMTT de Aracaju intensifica monitoramento e realiza bloqueios em vias afetadas pelas chuvas SMTT de Aracaju intensifica monitoramento e realiza bloqueios em vias afetadas pelas chuvas Publicado em: 20/05/2025 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju está desde as primeiras horas da manhã desta terça-feira, 20, com suas equipes nas ruas monitorando o impacto das fortes chuvas na capital e atuando para prevenir transtornos à mobilidade urbana. A Superintendência Mun..."
Trânsito|20/05/2025,São José (Ministro Geraldo Barreto Sobral; Marieta Leite; Tancredo Neves; Gonçalo Prado Rolemberg com a rua Coronel Stanley Silveira; Pedro Valadares),"SMTT de Aracaju intensifica monitoramento e realiza bloqueios em vias afetadas pelas chuvas SMTT de Aracaju intensifica monitoramento e realiza bloqueios em vias afetadas pelas chuvas Publicado em: 20/05/2025 A Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju está desde as primeiras horas da manhã desta terça-feira, 20, com suas equipes nas ruas monitorando o impacto das fortes chuvas na capital e atuando para prevenir transtornos à mobilidade urbana. A Superintendência Mun..."
Trânsito|20/05/2025,Grageru (Marieta Leite; Coronel Stanley Silveira; Pedro Valadares; Campo do Brito com Avenida Lagarto e na Avenida Construtor João Alves com Lagarto; Acre),"Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Publicado em: 20/05/2025 O Comitê Operacional de Aracaju (COA), coordenado pela Defesa Civil Municipal, divulgou nesta terça-feira (20) novo boletim com dados atualizados sobre as chuvas que atingem a capital sergipana. O documento reúne informações do monitoramento meteorológico, ocorrências registradas e aç..."
Trânsito|20/05/2025,Jabotiana (Marieta Leite; Coronel Stanley Silveira; Pedro Valadares; Campo do Brito com Avenida Lagarto e na Avenida Construtor João Alves com Lagarto; Acre),"Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Publicado em: 20/05/2025 O Comitê Operacional de Aracaju (COA), coordenado pela Defesa Civil Municipal, divulgou nesta terça-feira (20) novo boletim com dados atualizados sobre as chuvas que atingem a capital sergipana. O documento reúne informações do monitoramento meteorológico, ocorrências registradas e aç..."
Trânsito|20/05/2025,Pereira Lobo (Marieta Leite; Coronel Stanley Silveira; Pedro Valadares; Campo do Brito com Avenida Lagarto e na Avenida Construtor João Alves com Lagarto; Acre),"Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Publicado em: 20/05/2025 O Comitê Operacional de Aracaju (COA), coordenado pela Defesa Civil Municipal, divulgou nesta terça-feira (20) novo boletim com dados atualizados sobre as chuvas que atingem a capital sergipana. O documento reúne informações do monitoramento meteorológico, ocorrências registradas e aç..."
Trânsito|20/05/2025,Ponto Novo (Marieta Leite; Coronel Stanley Silveira; Pedro Valadares; Campo do Brito com Avenida Lagarto e na Avenida Construtor João Alves com Lagarto; Acre),"Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Publicado em: 20/05/2025 O Comitê Operacional de Aracaju (COA), coordenado pela Defesa Civil Municipal, divulgou nesta terça-feira (20) novo boletim com dados atualizados sobre as chuvas que atingem a capital sergipana. O documento reúne informações do monitoramento meteorológico, ocorrências registradas e aç..."
Trânsito|20/05/2025,Santos Dumont (Marieta Leite; Coronel Stanley Silveira; Pedro Valadares; Campo do Brito com Avenida Lagarto e na Avenida Construtor João Alves com Lagarto; Acre),"Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Comitê Operacional: Prefeitura de Aracaju divulga boletim com ações e monitoramento das chuvas Publicado em: 20/05/2025 O Comitê Operacional de Aracaju (COA), coordenado pela Defesa Civil Municipal, divulgou nesta terça-feira (20) novo boletim com dados atualizados sobre as chuvas que atingem a capital sergipana. O documento reúne informações do monitoramento meteorológico, ocorrências registradas e aç..."
Trânsito|17/07/2019,Inácio Barbosa (Roberto Fonseca),"Placas de identificação dos veículos perdidas no período de chuvas ainda podem ser resgatadas na SMTT Placas de identificação dos veículos perdidas no período de chuvas ainda podem ser resgatadas na SMTT Publicado em: 17/07/2019 Os motoristas que perderam placas dos seus veículos em pontos de alagamentos de Aracaju, devido às recentes chuvas que atingiram a cidade na semana passada, ainda podem retirá-las na sede da Superintendência Municipal de Transportes e Trânsito (SMTT). Mais de 230 foram r..."
Trânsito|12/07/2019,Jabotiana (Avenida Euclides Figueiredo; Euclides Figueiredo),"SMTT alerta condutores sobre pontos de alagamento em Aracaju SMTT alerta condutores sobre pontos de alagamento em Aracaju Publicado em: 12/07/2019 Em meio às fortes chuvas, a Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju alerta a população para a necessidade de buscar informações sobre as condições de tráfego das vias da cidade e, em alguns casos, traças rotas alternativas para evitar transtornos. Em meio às fortes chuvas, a Superintendência Municipal de Transportes e Tr..."
