"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"";"";"";"69,0";"69,0";"68,0";"";"";"";"1013,0";"1013,1";"1012,7";"3,8";"89,0";"8,0";"";"0,0"
"01/01/2025";"0100";"";"";"";"66,0";"69,0";"65,0";"";"";"";"1013,2";"1013,2";"1013,0";"4,1";"90,0";"8,0";"";"0,0"
"01/01/2025";"0200";"";"";"";"69,0";"70,0";"66,0";"";"";"";"1013,0";"1013,3";"1013,0";"3,7";"87,0";"7,7";"";"0,0"
"01/01/2025";"0300";"";"";"";"69,0";"70,0";"68,0";"";"";"";"1012,5";"1013,0";"1012,5";"4,0";"90,0";"7,8";"";"0,0"
"01/01/2025";"0400";"";"";"";"70,0";"71,0";"69,0";"";"";"";"1011,9";"1012,5";"1011,8";"4,0";"90,0";"7,8";"";"0,0"
"01/01/2025";"0500";"";"";"";"71,0";"72,0";"70,0";"";"";"";"1011,8";"1011,9";"1011,6";"3,5";"89,0";"7,2";"";"0,0"
"01/01/2025";"0600";"";"";"";"70,0";"72,0";"69,0";"";"";"";"1011,8";"1011,8";"1011,6";"3,3";"87,0";"7,0";"";"0,0"
"01/01/2025";"0700";"";"";"";"69,0";"71,0";"68,0";"";"";"";"1011,8";"1011,8";"1011,6";"3,4";"90,0";"6,6";"";"0,0"
"01/01/2025";"0800";"";"";"";"68,0";"72,0";"68,0";"";"";"";"1012,2";"1012,2";"1011,8";"3,1";"86,0";"6,5";"";"0,0"
"01/01/2025";"0900";"";"";"";"68,0";"70,0";"68,0";"";"";"";"1012,6";"1012,7";"1012,1";"3,5";"86,0";"6,7";"73,20";"0,0"
"01/01/2025";"1000";"";"";"";"63,0";"68,0";"63,0";"";"";"";"1012,9";"1012,9";"1012,6";"3,4";"86,0";"6,9";"672,00";"0,0"
"01/01/2025";"1100";"";"";"";"64,0";"65,0";"60,0";"";"";"";"1013,5";"1013,5";"1012,8";"3,1";"79,0";"8,1";"1377,50";"0,0"
"01/01/2025";"1200";"";"";"";"58,0";"64,0";"56,0";"";"";"";"1013,8";"1013,8";"1013,4";"4,0";"82,0";"7,2";"1872,00";"0,0"
"01/01/2025";"1300";"";"";"";"58,0";"61,0";"55,0";"";"";"";"1013,8";"1014,0";"1013,8";"4,3";"91,0";"7,5";"2537,10";"0,0"
"01/01/2025";"1400";"";"";"";"57,0";"60,0";"55,0";"";"";"";"1013,2";"1013,9";"1013,2";"4,2";"90,0";"8,3";"2788,70";"0,0"
"01/01/2025";"1500";"";"";"";"56,0";"59,0";"55,0";"";"";"";"1012,8";"1013,3";"1012,8";"4,1";"84,0";"7,7";"2909,40";"0,0"
"01/01/2025";"1600";"";"";"";"56,0";"59,0";"54,0";"";"";"";"1012,0";"1012,8";"1012,0";"3,1";"82,0";"7,7";"2934,40";"0,0"
"01/01/2025";"1700";"";"";"";"58,0";"58,0";"54,0";"";"";"";"1011,2";"1012,0";"1011,2";"3,2";"85,0";"8,1";"2737,80";"0,0"
"01/01/2025";"1800";"";"";"";"59,0";"61,0";"56,0";"";"";"";"1010,6";"1011,2";"1010,6";"3,4";"83,0";"6,9";"2291,10";"0,0"
"01/01/2025";"1900";"";"";"";"62,0";"63,0";"58,0";"";"";"";"1010,3";"1010,6";"1010,2";"2,8";"80,0";"6,8";"1653,80";"0,0"
"01/01/2025";"2000";"";"";"";"64,0";"65,0";"60,0";"";"";"";"1010,7";"1010,8";"1010,2";"3,0";"84,0";"6,6";"921,10";"0,0"
"01/01/2025";"2100";"";"";"";"68,0";"69,0";"64,0";"";"";"";"1011,2";"1011,2";"1010,7";"2,9";"85,0";"6,3";"177,00";"0,0"
"01/01/2025";"2200";"";"";"";"69,0";"70,0";"68,0";"";"";"";"1011,5";"1011,5";"1011,1";"3,4";"90,0";"6,3";"";"0,0"
"01/01/2025";"2300";"";"";"";"70,0";"71,0";"69,0";"";"";"";"1012,1";"1012,2";"1011,5";"3,3";"89,0";"6,8";"";"0,0"
"02/01/2025";"0000";"";"";"";"69,0";"71,0";"69,0";"";"";"";"1012,6";"1012,6";"1012,1";"3,2";"89,0";"6,7";"";"0,0"
"02/01/2025";"0100";"";"";"";"69,0";"70,0";"68,0";"";"";"";"1013,0";"1013,0";"1012,6";"3,0";"85,0";"6,7";"";"0,0"
"02/01/2025";"0200";"";"";"";"68,0";"69,0";"68,0";"";"";"";"1013,0";"1013,2";"1013,0";"1,7";"94,0";"6,0";"";"0,0"
"02/01/2025";"0300";"";"";"";"68,0";"69,0";"68,0";"";"";"";"1012,8";"1013,0";"1012,7";"2,5";"85,0";"5,7";"";"0,0"
"02/01/2025";"0400";"";"";"";"68,0";"69,0";"67,0";"";"";"";"1012,1";"1012,8";"1012,1";"2,4";"89,0";"5,7";"";"0,0"
"02/01/2025";"0500";"";"";"";"70,0";"71,0";"68,0";"";"";"";"1011,8";"1012,1";"1011,7";"1,8";"65,0";"5,2";"";"0,0"
"02/01/2025";"0600";"";"";"";"70,0";"70,0";"69,0";"";"";"";"1011,7";"1011,8";"1011,7";"2,0";"82,0";"4,9";"";"0,0"
"02/01/2025";"0700";"";"";"";"70,0";"71,0";"69,0";"";"";"";"1011,9";"1012,0";"1011,7";"2,1";"83,0";"4,7";"";"0,0"
"02/01/2025";"0800";"";"";"";"71,0";"73,0";"69,0";"";"";"";"1012,3";"1012,3";"1011,8";"1,3";"82,0";"4,9";"";"0,0"
"02/01/2025";"0900";"";"";"";"69,0";"72,0";"69,0";"";"";"";"1013,0";"1013,0";"1012,3";"1,9";"84,0";"3,9";"42,50";"0,0"
"02/01/2025";"1000";"";"";"";"64,0";"70,0";"64,0";"";"";"";"1013,5";"1013,5";"1013,0";"3,1";"90,0";"5,5";"570,70";"0,0"
"02/01/2025";"1100";"";"";"";"60,0";"64,0";"60,0";"";"";"";"1013,8";"1013,8";"1013,5";"3,4";"85,0";"5,5";"1441,20";"0,0"
"02/01/2025";"1200";"";"";"";"59,0";"62,0";"56,0";"";"";"";"1014,2";"1014,2";"1013,8";"3,8";"94,0";"5,8";"2086,20";"0,0"
"02/01/2025";"1300";"";"";"";"57,0";"61,0";"57,0";"";"";"";"1013,8";"1014,2";"1013,8";"4,1";"89,0";"7,9";"2550,70";"0,0"
"02/01/2025";"1400";"";"";"";"57,0";"61,0";"54,0";"";"";"";"1013,4";"1013,9";"1013,4";"4,1";"91,0";"8,0";"2779,20";"0,0"
"02/01/2025";"1500";"";"";"";"55,0";"60,0";"53,0";"";"";"";"1012,8";"1013,4";"1012,8";"4,5";"90,0";"7,7";"2900,10";"0,0"
"02/01/2025";"1600";"";"";"";"59,0";"60,0";"53,0";"";"";"";"1012,1";"1012,8";"1012,0";"4,5";"88,0";"8,5";"2951,20";"0,0"
"02/01/2025";"1700";"";"";"";"56,0";"59,0";"54,0";"";"";"";"1011,6";"1012,1";"1011,5";"2,8";"81,0";"7,8";"2703,00";"0,0"
"02/01/2025";"1800";"";"";"";"57,0";"59,0";"55,0";"";"";"";"1010,8";"1011,6";"1010,8";"2,4";"77,0";"6,9";"2255,80";"0,0"
"02/01/2025";"1900";"";"";"";"61,0";"61,0";"56,0";"";"";"";"1011,0";"1011,0";"1010,7";"1,8";"76,0";"6,2";"1269,70";"0,0"
"02/01/2025";"2000";"";"";"";"62,0";"63,0";"59,0";"";"";"";"1011,2";"1011,3";"1011,0";"1,8";"76,0";"4,9";"659,60";"0,0"
"02/01/2025";"2100";"";"";"";"66,0";"66,0";"61,0";"";"";"";"1011,5";"1011,5";"1011,1";"1,7";"64,0";"5,9";"313,80";"0,0"
"02/01/2025";"2200";"";"";"";"69,0";"70,0";"66,0";"";"";"";"1011,6";"1011,6";"1011,5";"3,3";"88,0";"6,4";"";"0,0"
"02/01/2025";"2300";"";"";"";"71,0";"71,0";"68,0";"";"";"";"1012,1";"1012,1";"1011,6";"2,8";"87,0";"6,8";"";"0,0"
"03/01/2025";"0000";"";"";"";"71,0";"71,0";"69,0";"";"";"";"1012,5";"1012,6";"1012,1";"3,3";"87,0";"6,1";"";"0,0"
"03/01/2025";"0100";"";"";"";"72,0";"73,0";"70,0";"";"";"";"1012,7";"1012,7";"1012,5";"2,5";"88,0";"5,6";"";"0,0"
"03/01/2025";"0200";"";"";"";"72,0";"72,0";"71,0";"";"";"";"1012,3";"1012,7";"1012,3";"2,8";"85,0";"5,8";"";"0,0"
"03/01/2025";"0300";"";"";"";"73,0";"74,0";"72,0";"";"";"";"1011,7";"1012,3";"1011,7";"2,9";"89,0";"5,4";"";"0,0"
"03/01/2025";"0400";"";"";"";"73,0";"74,0";"73,0";"";"";"";"1011,2";"1011,8";"1011,2";"2,6";"85,0";"5,4";"";"0,0"
"03/01/2025";"0500";"";"";"";"73,0";"74,0";"72,0";"";"";"";"1011,3";"1011,3";"1011,2";"2,6";"85,0";"5,1";"";"0,0"
"03/01/2025";"0600";"";"";"";"73,0";"73,0";"71,0";"";"";"";"1011,4";"1011,4";"1011,2";"2,1";"86,0";"5,3";"";"0,0"
"03/01/2025";"0700";"";"";"";"73,0";"74,0";"71,0";"";"";"";"1011,3";"1011,4";"1011,2";"2,4";"88,0";"5,7";"";"0,0"
"03/01/2025";"0800";"";"";"";"71,0";"73,0";"70,0";"";"";"";"1011,6";"1011,7";"1011,3";"2,7";"88,0";"5,8";"";"0,0"
"03/01/2025";"0900";"";"";"";"71,0";"72,0";"69,0";"";"";"";"1012,3";"1012,3";"1011,6";"3,0";"89,0";"5,8";"41,70";"0,0"
